id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
452662,The China Town,"Manikonda,Hyderabad",--,Too Few Ratings,� 150,Chinese,2.36E+13,https://www.swiggy.com/restaurants/the-china-town-manikonda-hyderabad-452662,"The China Town, H no 8-1-284/OU/307, OU Colony, Shaikpet, Hyderabad, Telangana 500008, India",Menu/452662.json
572575,Ekta Kitchen,Gonda,--,Too Few Ratings,� 199,"North Indian,Snacks",2.27E+13,https://www.swiggy.com/restaurants/ekta-kitchen-azad-nagar-gonda-572575,"Ekta Kitchen, Bahraich road ,infront of zila parishad colony gonda - 271001",Menu/572575.json
519298,Chinese Lama,"Uttam Nagar,Delhi",--,Too Few Ratings,� 200,"Chinese,Snacks",2.33E+13,https://www.swiggy.com/restaurants/chinese-lama-uttam-nagar-delhi-519298,"Chinese Lama, Plot No.C-510, J.J.Colony, Hastsal, Uttam Nagar, New Delhi, PALAM, DWARKA,South West , Delhi - 110059",Menu/519298.json
484101,Yaami s Kitchen,"Greater Kailash 2,Delhi",4.1,20+ ratings,� 300,Chinese,1.33E+13,https://www.swiggy.com/restaurants/yaami-s-kitchen-greater-kailash-2-delhi-484101,"Yaami s Kitchen, SHOP NO 3 KRISHNA MARKET KALKAJI NEW DELHI - 110019 South East Delhi 110019",Menu/484101.json
251926,CAKE JUNCTION,"CV Raman Nagar,Bangalore",--,Too Few Ratings,� 300,"Bakery,Desserts",2.12E+13,https://www.swiggy.com/restaurants/cake-junction-cv-raman-nagar-ramagondanahalli-bangalore-251926,"CAKE JUNCTION, NO 204 , Ramagondanahalli , opp RENAISSANCE , jagriti apartment, WHITEFIELD main road , MAHADEVPURA , B.B.M.P East (Karnataka), - 560066, Karnataka",Menu/251926.json
541633,Wichee,"GTB Nagar,Delhi",4.6,50+ ratings,� 400,"Fast Food,Salads",1.33E+13,https://www.swiggy.com/restaurants/wichee-gtb-nagar-delhi-541633,"Wichee, 2515 HUDSON LANE KINGSWAY CAMP, MODEL TOWN, North , Delhi-110009",Menu/541633.json
487898,Indian Pasta s,"Electronic City,Bangalore",--,Too Few Ratings,� 200,"Pastas,Sweets",1.12E+13,https://www.swiggy.com/restaurants/indian-pasta-s-hsr-electronic-city-bangalore-487898,"Indian Pasta s, Ground floor, M.M.R  Residency Site, NO.667 & 668, Sree Ananthanagar phase 1,Near Bescom office Veerasan- Bangalore, India, Begur, Bangalore south, Bangalore urban, Karnataka-560100",Menu/487898.json
334179,LASSI PLUSS,"Yelahanka,Bangalore",--,Too Few Ratings,� 150,"Beverages,Desserts",2.12E+13,https://www.swiggy.com/restaurants/lassi-pluss-yelahanka-yelahanka-new-town-bangalore-334179,"LASSI PLUSS, 707, 4th Phase, Yelahanka New Town, Bengaluru, Karnataka 560032, India",Menu/334179.json
319641,MOMOS KING,Madurai,3.9,20+ ratings,� 200,"Chinese,Beverages",2.24E+13,https://www.swiggy.com/restaurants/momos-king-periyar-rathinapuram-madurai-319641,"MOMOS KING, No.10, Angayar Kanni 4th Cross Street, Jeeva Nagar 2nd Street, Jaihindpuram, Madurai - 625011",Menu/319641.json
554358,Da Dragon Fly,"Malviya Nagar,Delhi",--,Too Few Ratings,� 300,Chinese,2.33E+13,https://www.swiggy.com/restaurants/da-dragon-fly-malviya-nagar-delhi-554358,"Da Dragon Fly, B-48,PANCHSHEEL VIHAR, MALVIYA NAGAR, KHIRKI, HAUZ KHAS, South, Delhi-110017",Menu/554358.json
342500,Sonali Pavbhaji,Morbi,3.6,100+ ratings,� 300,"South Indian,Chaat",2.07E+13,https://www.swiggy.com/restaurants/sonali-pavbhaji-nirmala-road-nirmala-convent-road-rajkot-342500,"Sonali Pavbhaji, Nirmala Road, Nr. SVC Bank, Rajkot",Menu/342500.json
367828,T-SPOT,"South Kolkata,Kolkata",--,Too Few Ratings,� 200,"Chinese,Beverages",2.28E+13,https://www.swiggy.com/restaurants/t-spot-south-ballygunge-kolkata-367828,"T-SPOT, 100 Monohar pukur road Kolkata- 700029",Menu/367828.json
